"","h16_g3","h16_g4","h16_g6","h16_eco9","h16_reg7","p1602_8aq1"
"357",2,1949,5,NA,1,NA
"358",1,1973,7,259,1,227
"359",2,1969,7,259,1,481
"360",2,2007,4,NA,1,NA
"361",1,2009,3,NA,1,NA
"362",1,1936,5,NA,1,NA
"363",2,1946,5,NA,1,NA
"364",2,1957,4,722,1,170
"365",2,1987,7,134,1,120
"366",1,1991,7,312,1,250
"367",1,1955,8,251,1,74
"368",2,1960,7,421,1,210
"369",1,1989,7,399,1,205
"370",1,1957,5,NA,2,NA
"371",1,1989,6,930,2,218
"372",1,1952,4,NA,1,NA
"373",1,1960,4,910,1,313
"374",2,1960,4,NA,1,NA
"375",2,1993,5,NA,1,NA
"376",2,1988,6,NA,2,NA
"377",1,1984,7,441,2,366
"378",2,2018,1,NA,2,NA
"379",2,1971,8,281,1,NA
"380",2,1976,7,312,2,618
"381",1,1973,8,235,2,1081
"382",1,1950,5,873,1,NA
"383",2,1953,4,951,1,NA
"384",1,1982,8,252,1,483
"385",2,1987,7,399,1,430
"386",1,2016,1,NA,1,NA
"387",1,2019,1,NA,1,NA
"388",2,1937,3,NA,1,NA
"389",1,1938,4,NA,1,NA
"390",1,1954,3,NA,1,NA
"391",1,1997,5,NA,1,NA
"392",2,1994,5,314,2,69
"393",1,1994,7,999,2,180
"394",2,2016,1,NA,2,NA
"395",2,2018,1,NA,2,NA
"396",1,1965,5,NA,1,NA
"397",2,1969,5,722,1,NA
"398",2,1993,6,422,1,217
"399",2,2000,6,NA,1,NA
"400",2,1992,7,NA,1,NA
"401",1,1986,6,753,1,282
"402",1,1970,5,873,1,370
"403",2,1971,5,NA,1,NA
"404",2,2001,6,999,1,58
"405",2,2003,5,NA,1,NA
"406",2,1944,5,NA,1,NA
"407",2,1950,3,NA,2,NA
"408",1,1971,5,149,2,NA
"409",1,1997,6,NA,2,NA
"410",2,1936,7,NA,1,NA
"411",1,1957,5,NA,2,NA
"412",2,1958,5,NA,2,NA
"413",1,1983,6,NA,2,NA
"414",2,1979,6,NA,2,NA
"415",1,1975,7,133,2,300
"416",2,2009,3,NA,2,NA
"417",1,2012,3,NA,2,NA
"418",1,1962,5,891,1,208
"419",2,1964,5,NA,1,NA
"420",1,1990,7,222,1,308
"421",1,1994,6,874,1,228
"422",1,1952,5,992,1,160
"423",2,1957,5,NA,1,NA
"424",1,1981,6,246,1,664
"425",2,1986,7,246,1,408
"426",1,2015,1,NA,1,NA
"427",1,2019,1,NA,1,NA
"428",2,1984,7,320,1,155
"429",1,1982,7,312,1,700
"430",2,2017,1,NA,1,NA
"431",1,2020,1,NA,1,NA
"432",1,1952,2,NA,7,NA
"433",1,1936,5,NA,1,NA
"434",2,1936,2,NA,1,NA
"435",1,1960,5,NA,1,NA
"436",1,1966,6,823,1,NA
"437",2,1966,5,823,1,NA
"438",2,2004,5,NA,1,NA
"439",2,2004,5,NA,1,NA
"440",2,1939,5,NA,1,NA
"441",1,1960,5,875,1,591
"442",2,1962,5,NA,1,NA
"443",1,1961,6,159,1,NA
"444",2,1968,6,259,1,180
"445",1,1998,5,NA,1,NA
"446",2,1999,6,521,1,80
"447",1,1964,8,248,5,400
"448",2,1975,5,NA,5,NA
"449",2,1997,7,521,5,100
"450",2,2008,3,NA,5,NA
"451",2,2011,3,NA,5,NA
"452",2,1942,4,NA,1,NA
"453",1,1974,5,783,2,350
"454",2,1981,6,910,2,150
"455",2,2007,4,NA,2,NA
"456",1,1940,7,NA,1,NA
"457",2,1943,5,NA,1,NA
"458",1,2000,7,NA,1,NA
"459",1,1968,7,521,1,NA
"460",1,1955,5,873,1,NA
"461",2,1961,5,951,1,NA
"462",1,1993,7,NA,1,NA
"463",1,1961,4,NA,1,NA
"464",2,1961,4,NA,1,NA
"465",2,1943,5,NA,1,NA
"466",1,1979,8,312,2,462
"467",2,1983,8,NA,2,NA
"468",1,2010,3,NA,2,NA
"469",2,2019,1,NA,2,NA
"470",1,1945,8,NA,2,NA
"471",2,1953,5,NA,2,NA
"472",2,1946,3,NA,1,NA
"473",2,1947,5,NA,1,NA
"474",1,2001,7,NA,1,NA
"475",2,1935,5,NA,1,NA
"476",2,1950,7,NA,1,NA
"477",1,1978,7,320,1,620
"478",2,1979,6,313,1,250
"479",1,1981,5,922,1,140
"480",2,1927,3,NA,2,NA
"481",2,1960,5,422,2,NA
"482",1,1953,5,NA,2,NA
"483",2,1987,7,399,2,240
