"","h16_g3","h16_g4","h16_g6","h16_eco9","h16_reg7","p1602_8aq1"
"7210",1,1963,5,NA,6,NA
"7211",2,1969,4,941,6,75
"7212",1,1998,6,NA,6,NA
"7213",2,1938,3,999,6,26
"7214",2,1946,3,NA,6,NA
"7215",1,1936,3,941,6,26
"7216",1,1972,5,1009,7,673
"7217",2,1973,5,421,7,100
"7218",2,1998,7,247,7,196
"7219",2,2004,5,NA,7,NA
"7220",1,2011,3,NA,7,NA
"7221",1,1940,4,611,6,NA
"7222",2,1943,2,611,6,NA
"7223",1,1936,3,611,6,NA
"7224",2,1940,3,611,6,NA
"7225",1,1940,2,611,6,NA
"7226",2,1947,3,611,6,NA
"7227",2,1938,2,NA,6,NA
"7228",2,1973,3,NA,6,NA
"7229",1,1936,3,NA,6,NA
"7230",2,1940,3,611,6,NA
"7231",2,1929,2,NA,6,NA
"7232",2,1935,3,999,6,29
"7233",2,1969,5,421,5,183
"7234",2,1996,7,313,5,200
"7235",1,1956,5,522,5,330
"7236",1,1993,5,799,5,250
"7237",2,1988,5,245,2,195
"7238",1,1988,6,873,2,NA
"7239",2,1990,5,NA,5,NA
"7240",1,1985,6,312,5,450
"7241",1,1952,7,611,5,NA
"7242",2,1984,7,NA,5,NA
"7243",2,1982,7,283,2,NA
"7244",1,1992,5,521,2,300
"7245",1,1958,8,112,5,200
"7246",1,1993,7,NA,5,NA
"7247",2,1990,7,313,2,275
"7248",1,1992,9,211,2,130
"7249",1,1957,7,NA,5,NA
"7250",2,1961,7,254,5,NA
"7251",2,1989,7,254,5,250
"7252",1,1993,7,NA,5,NA
"7253",1,1946,7,NA,5,NA
"7254",2,1957,7,254,5,NA
"7255",1,1981,7,312,5,775
"7256",2,1981,7,NA,5,NA
"7257",1,2017,1,NA,5,NA
"7258",1,1985,7,252,5,432
"7259",2,1990,7,NA,5,NA
"7260",1,2020,1,NA,5,NA
"7261",1,1952,8,NA,5,NA
"7262",2,1954,5,951,5,NA
"7263",1,1978,7,252,5,593
"7264",2,1980,7,252,5,547
"7265",2,2007,4,NA,5,NA
"7266",1,2009,3,NA,5,NA
"7267",2,1980,7,252,5,555
"7268",1,1980,7,252,5,573
"7269",2,2009,3,NA,5,NA
"7270",1,2011,3,NA,5,NA
"7271",1,1975,7,259,5,250
"7272",2,1974,8,252,5,500
"7273",1,2007,4,NA,5,NA
"7274",2,2010,3,NA,5,NA
"7275",1,1981,7,151,3,NA
"7276",2,1981,5,NA,3,NA
"7277",2,2012,3,NA,3,NA
"7278",1,1972,7,320,5,729
"7279",2,1976,5,320,5,670
"7280",2,2007,4,NA,5,NA
"7281",2,1943,3,NA,5,NA
"7282",1,2009,3,NA,5,NA
"7283",1,1954,5,NA,5,NA
"7284",2,1959,5,313,5,155
"7285",2,1931,3,NA,5,NA
"7286",1,1980,9,221,2,1275
"7287",2,1982,7,222,2,725
"7288",1,2014,1,NA,2,NA
"7289",2,1985,7,311,2,80
"7290",1,1982,7,313,2,693
"7291",1,2013,3,NA,2,NA
"7292",2,2015,1,NA,2,NA
"7293",1,1950,5,611,5,NA
"7294",2,1952,3,611,5,NA
"7295",2,1928,3,NA,5,NA
"7296",2,1934,3,NA,5,NA
"7297",1,1973,5,510,5,250
"7298",1,1998,7,NA,5,NA
"7299",2,2001,7,NA,5,NA
"7300",1,2003,5,NA,5,NA
"7301",2,1978,5,NA,5,NA
"7302",1,1962,5,823,5,NA
"7303",2,1971,5,999,5,NA
"7304",1,1992,5,873,6,272
"7305",2,1995,6,314,6,162
"7306",1,2019,1,NA,6,NA
"7307",1,1974,5,743,5,337
"7308",2,1978,5,421,5,212
"7309",1,2004,5,NA,5,NA
"7310",1,2007,4,NA,5,NA
"7311",1,1937,5,NA,5,NA
"7312",2,1937,4,NA,5,NA
"7313",1,1960,4,611,5,NA
"7314",2,1937,2,NA,5,NA
"7315",2,1992,6,NA,5,NA
"7316",1,1990,6,832,5,342
"7317",2,1995,5,442,7,168
"7318",1,1951,3,NA,5,NA
"7319",2,1957,3,611,5,NA
"7320",1,1982,7,611,5,NA
"7321",2,1988,7,NA,5,NA
"7322",1,1956,4,942,5,199
"7323",2,1959,4,611,5,NA
"7324",1,1981,7,231,5,311
"7325",2,1982,7,231,5,200
"7326",1,2017,1,NA,5,NA
"7327",1,1960,5,611,5,NA
"7328",2,1964,5,611,5,NA
"7329",1,1993,7,252,5,323
"7330",2,1961,4,613,5,NA
"7331",2,1983,7,313,5,322
"7332",1,1979,7,521,5,337
"7333",1,2012,3,NA,5,NA
"7334",1,1961,3,611,5,NA
"7335",2,1969,6,611,5,NA
"7336",1,1998,5,NA,5,NA
"7337",2,2001,6,NA,5,NA
"7338",1,1965,4,841,2,459
"7339",2,1956,8,NA,2,NA
"7340",1,1971,5,875,5,NA
"7341",2,1974,5,NA,5,NA
"7342",1,1943,4,611,5,NA
"7343",2,1949,4,521,5,NA
"7344",2,1941,2,NA,5,NA
"7345",2,1945,3,NA,5,NA
"7346",1,1979,5,NA,5,NA
"7347",1,1972,5,NA,5,NA
"7348",2,1928,2,NA,5,NA
"7349",2,1942,2,NA,5,NA
"7350",2,1933,2,NA,5,NA
"7351",1,1964,5,819,5,293
"7352",2,1973,5,930,5,280
"7353",2,1994,6,313,5,260
"7354",2,1934,3,NA,5,NA
"7355",2,1993,5,246,5,200
"7356",1,1941,3,611,5,NA
"7357",2,1940,3,NA,5,NA
"7358",1,1934,2,NA,5,NA
"7359",2,1939,2,NA,5,NA
"7360",2,1964,4,930,5,218
"7361",1,1947,3,NA,5,NA
"7362",1,1979,5,922,2,200
"7363",2,1981,5,NA,2,NA
"7364",1,2002,5,NA,2,NA
"7365",2,2008,3,NA,2,NA
"7366",2,1934,2,NA,5,NA
"7367",2,1937,3,NA,5,NA
"7368",2,1942,2,NA,5,NA
"7369",1,1966,5,620,5,NA
"7370",2,1939,3,NA,5,NA
"7371",2,1935,2,NA,5,NA
"7372",2,1954,3,941,5,129
"7373",1,1935,3,611,5,NA
"7374",2,1936,3,NA,5,NA
"7375",1,1978,6,930,5,567
"7376",2,1982,7,NA,5,NA
"7377",1,2019,1,NA,5,NA
"7378",1,1947,3,441,5,NA
"7379",2,1954,3,441,5,NA
"7380",2,1982,5,442,5,NA
"7381",2,1971,5,NA,5,NA
"7382",2,1951,3,NA,5,NA
"7383",1,1971,7,139,5,412
"7384",2,1978,5,NA,5,NA
"7385",1,1947,3,NA,5,NA
"7386",1,1973,5,875,5,370
"7387",1,1940,4,NA,5,NA
"7388",2,1942,3,NA,5,NA
"7389",2,1971,6,930,5,NA
"7390",2,1960,5,611,4,NA
"7391",1,1960,4,611,4,NA
"7392",1,1987,6,743,5,350
"7393",1,1962,6,862,5,303
"7394",2,1966,6,532,5,206
"7395",1,1952,5,942,5,180
"7396",2,1960,4,951,5,41
"7397",1,1983,7,821,5,381
"7398",2,1985,7,312,5,342
"7399",1,2013,3,NA,5,NA
"7400",1,1974,5,312,5,958
"7401",2,1980,5,NA,5,NA
"7402",2,2007,4,NA,5,NA
"7403",2,2008,3,NA,5,NA
"7404",2,1941,2,941,5,27
"7405",1,1954,4,NA,5,NA
"7406",2,1962,4,930,5,284
"7407",1,1949,5,611,5,NA
"7408",2,1952,5,NA,5,NA
"7409",2,1978,6,313,5,559
"7410",1,1977,6,320,5,393
"7411",2,2014,1,NA,5,NA
"7412",2,1982,7,999,5,NA
"7413",1,1946,5,NA,5,NA
"7414",2,1953,4,NA,5,NA
"7415",1,1979,7,252,6,496
"7416",2,1984,7,252,6,475
"7417",2,2015,1,NA,6,NA
"7418",1,1961,4,873,5,331
"7419",2,1968,4,941,5,226
"7420",2,1992,6,243,5,265
"7421",1,1970,5,910,5,NA
"7422",2,1975,5,282,5,318
"7423",1,2003,5,NA,5,NA
"7424",2,2004,5,NA,5,NA
"7425",1,1942,4,611,5,NA
"7426",2,1947,3,NA,5,NA
"7427",1,1952,5,941,5,70
"7428",2,1951,3,941,5,27
"7429",1,1941,7,873,5,179
"7430",2,1942,3,941,5,27
"7431",1,1974,8,259,5,69
"7432",1,1940,4,999,5,27
"7433",2,1947,4,NA,5,NA
"7434",1,1934,5,NA,5,NA
"7435",1,1945,5,611,5,NA
"7436",2,1946,4,611,5,NA
"7437",1,1969,5,930,2,386
"7438",2,2006,4,NA,2,NA
"7439",2,2008,3,NA,2,NA
"7440",1,1949,3,611,5,NA
"7441",2,1957,3,611,5,NA
"7442",1,1944,2,611,5,NA
"7443",2,1952,3,611,5,NA
"7444",1,1934,7,611,5,NA
"7445",2,1935,3,NA,5,NA
"7446",2,1939,3,NA,5,NA
"7447",2,1933,4,NA,5,NA
"7448",1,1954,6,611,5,NA
"7449",2,1957,4,611,5,NA
"7450",1,1952,3,611,5,NA
"7451",2,1955,3,NA,5,NA
"7452",2,1988,5,NA,5,NA
"7453",1,1947,3,611,5,NA
"7454",2,1953,3,611,5,NA
"7455",1,1991,6,611,5,NA
"7456",1,1937,4,NA,5,NA
"7457",2,1939,4,999,5,30
"7458",2,1938,2,NA,5,NA
"7459",1,1936,3,NA,5,NA
"7460",1,1934,3,611,5,NA
"7461",1,1949,3,611,5,NA
"7462",2,1955,3,611,5,NA
"7463",1,1939,3,611,5,NA
"7464",2,1944,3,941,5,27
"7465",1,1965,5,235,5,833
"7466",2,1971,8,313,5,250
"7467",2,1994,7,442,5,325
"7468",2,1997,7,999,5,100
"7469",1,1999,6,NA,5,NA
"7470",1,1956,5,613,5,NA
"7471",1,1940,4,611,5,NA
"7472",2,1945,3,611,5,NA
"7473",2,1934,3,941,5,27
"7474",2,1943,3,941,5,27
"7475",1,1956,5,611,5,NA
"7476",2,1961,5,422,5,NA
"7477",1,1986,6,246,5,267
"7478",1,1956,4,851,5,NA
"7479",2,1949,5,314,5,NA
"7480",2,1965,6,521,5,NA
"7481",2,1974,6,314,5,313
"7482",1,1981,7,611,5,NA
"7483",1,2007,4,NA,5,NA
"7484",1,2009,3,NA,5,NA
"7485",1,1966,7,311,5,592
"7486",2,1966,6,247,5,250
"7487",2,1996,7,NA,5,NA
"7488",2,1999,7,NA,5,NA
"7489",1,2000,7,NA,5,NA
"7490",1,1947,5,611,5,NA
"7491",2,1948,5,611,5,NA
"7492",1,1964,5,782,5,NA
"7493",2,1965,4,510,5,300
"7494",1,1988,7,NA,5,NA
"7495",2,1992,6,422,6,175
"7496",1,1991,5,521,6,310
"7497",1,2016,1,NA,6,NA
"7498",1,2018,1,NA,6,NA
"7499",2,1949,4,421,5,204
"7500",1,1952,4,611,5,NA
"7501",2,1958,4,611,5,NA
"7502",2,1980,5,NA,5,NA
"7503",1,1979,5,854,5,500
"7504",2,2009,3,NA,5,NA
"7505",2,2012,3,NA,5,NA
"7506",1,1958,3,NA,5,NA
"7507",2,1960,3,NA,5,NA
"7508",1,1985,6,743,5,300
"7509",2,1984,6,510,5,400
"7510",1,1952,4,710,5,NA
"7511",2,1958,3,710,5,NA
"7512",2,1986,7,247,5,357
"7513",1,1982,7,313,5,450
"7514",2,2011,3,NA,5,NA
"7515",1,1945,4,613,5,NA
"7516",2,1951,3,941,5,27
"7517",2,1942,3,941,5,27
"7518",1,1954,3,422,5,NA
"7519",1,1974,5,922,5,NA
"7520",2,1976,5,NA,5,NA
"7521",2,1999,7,NA,5,NA
"7522",1,2002,7,NA,5,NA
"7523",2,1940,3,941,5,27
"7524",1,1976,5,782,5,380
"7525",2,1936,2,941,5,27
"7526",1,1939,3,611,5,NA
"7527",2,1936,2,611,5,NA
"7528",1,1953,4,NA,5,NA
"7529",1,1964,5,753,5,NA
"7530",1,1938,4,611,5,NA
"7531",2,1942,3,611,5,NA
"7532",1,1942,3,NA,5,NA
"7533",2,1934,3,NA,5,NA
"7534",1,1963,4,751,5,NA
"7535",2,1966,4,611,5,NA
"7536",1,1996,7,442,5,85
"7537",2,2003,5,NA,5,NA
"7538",2,1994,5,NA,5,NA
"7539",1,1971,5,311,5,506
"7540",2,1977,5,NA,5,NA
"7541",2,1999,7,NA,5,NA
"7542",1,1974,7,411,5,574
"7543",2,1975,7,311,5,498
"7544",2,2005,4,NA,5,NA
"7545",1,2008,3,NA,5,NA
"7546",1,1976,7,252,5,641
"7547",2,1976,7,NA,5,NA
"7548",1,2005,4,NA,5,NA
"7549",1,2007,4,NA,5,NA
"7550",1,1971,7,862,5,530
"7551",2,1975,7,259,5,NA
"7552",1,2006,4,NA,5,NA
"7553",1,2008,3,NA,5,NA
"7554",1,1964,4,NA,5,NA
"7555",2,1968,5,521,5,NA
"7556",2,1996,5,243,5,190
"7557",1,2002,5,NA,5,NA
"7558",1,1942,3,611,5,NA
"7559",2,1952,3,991,5,NA
"7560",1,1979,5,753,5,261
"7561",2,1981,6,999,5,72
"7562",1,2007,4,NA,5,NA
"7563",1,2012,3,NA,5,NA
"7564",1,2014,1,NA,5,NA
"7565",1,1932,3,NA,5,NA
"7566",2,1938,3,NA,5,NA
"7567",2,1940,2,611,5,NA
"7568",2,1931,3,NA,5,NA
"7569",2,1974,5,NA,5,NA
"7570",1,2000,5,999,5,98
"7571",2,1940,2,NA,5,NA
"7572",2,1999,6,442,1,141
"7573",1,1954,5,611,5,NA
"7574",2,1960,3,611,5,NA
"7575",1,1953,3,611,5,NA
"7576",2,1959,3,611,5,NA
"7577",1,1982,5,843,5,302
"7578",2,2010,3,NA,5,NA
"7579",2,1942,2,611,5,NA
"7580",1,2003,5,NA,5,NA
"7581",2,1973,5,NA,5,NA
"7582",2,1960,3,613,5,NA
"7583",2,1932,3,NA,5,NA
"7584",1,1938,3,611,5,NA
"7585",2,1939,2,611,5,NA
"7586",2,1938,3,NA,5,NA
"7587",1,1956,4,611,5,NA
"7588",1,1981,5,NA,5,NA
"7589",2,1940,2,NA,5,NA
"7590",2,1935,2,NA,5,NA
"7591",2,1952,3,NA,5,NA
"7592",2,1940,3,NA,1,NA
"7593",1,1973,5,312,5,261
"7594",2,1974,7,521,5,NA
"7595",1,2000,7,NA,5,NA
"7596",2,2002,5,NA,5,NA
"7597",1,1945,4,611,5,NA
"7598",2,1951,4,441,5,30
"7599",1,1977,7,753,5,537
"7600",2,1980,6,259,5,272
"7601",2,2010,3,NA,5,NA
"7602",2,2013,3,NA,5,NA
"7603",1,1979,7,NA,5,NA
"7604",1,1954,7,521,5,NA
"7605",2,1955,5,441,5,30
"7606",2,1932,3,NA,5,NA
"7607",1,1954,5,NA,5,NA
"7608",1,1935,5,NA,5,NA
"7609",2,1934,4,NA,5,NA
"7610",2,1956,5,422,5,NA
"7611",1,1944,3,NA,5,NA
"7612",1,1978,7,313,5,483
"7613",2,1983,7,NA,5,NA
"7614",1,2019,1,NA,5,NA
"7615",2,2019,1,NA,5,NA
"7616",2,1939,2,NA,5,NA
"7617",1,1939,4,NA,5,NA
"7618",2,1939,3,NA,5,NA
"7619",1,1942,5,999,5,34
"7620",2,1953,4,NA,5,NA
"7621",1,1941,5,NA,5,NA
"7622",2,1944,4,NA,5,NA
"7623",1,1938,5,NA,5,NA
"7624",2,1937,3,NA,5,NA
"7625",2,1930,3,NA,5,NA
"7626",1,1968,5,613,5,NA
"7627",2,1971,5,441,5,247
"7628",2,1997,7,NA,5,NA
"7629",2,1995,7,NA,5,NA
"7630",2,1954,3,441,5,NA
"7631",1,1983,6,611,5,NA
"7632",2,1983,5,NA,5,NA
"7633",2,2012,3,NA,5,NA
"7634",1,2015,1,NA,5,NA
"7635",1,2017,1,NA,5,NA
"7636",1,1937,4,NA,5,NA
"7637",2,1942,3,611,5,NA
"7638",2,1974,5,442,5,218
"7639",1,1948,4,611,5,NA
"7640",2,1952,4,941,5,27
"7641",1,1950,5,611,5,NA
"7642",2,1955,5,611,5,NA
"7643",2,1924,2,NA,5,NA
"7644",1,1981,7,259,5,NA
"7645",2,1982,7,399,5,NA
"7646",1,2011,3,NA,5,NA
"7647",1,2016,1,NA,5,NA
"7648",2,1985,6,313,2,277
"7649",1,1981,6,313,2,352
"7650",2,2012,3,NA,2,NA
"7651",1,2016,1,NA,2,NA
"7652",2,1951,4,NA,5,NA
"7653",2,1939,2,NA,5,NA
"7654",2,1932,2,NA,5,NA
"7655",1,1958,7,942,5,192
"7656",1,1943,4,NA,5,NA
"7657",2,1948,3,421,5,37
"7658",1,1954,5,613,5,NA
"7659",2,1960,5,613,5,NA
"7660",2,1937,4,NA,5,NA
"7661",2,1928,3,NA,5,NA
"7662",2,1938,2,611,5,NA
"7663",2,1937,2,611,5,NA
"7664",2,1936,2,NA,5,NA
"7665",2,1934,3,NA,5,NA
"7666",2,1963,5,421,5,43
"7667",1,1974,4,941,5,155
"7668",2,1942,3,NA,5,NA
"7669",2,1976,4,930,5,319
"7670",2,1940,3,953,5,68
"7671",2,1947,3,611,5,NA
"7672",2,1939,3,999,5,27
"7673",2,1930,2,NA,5,NA
"7674",1,1949,5,611,5,NA
"7675",1,1953,3,611,5,NA
"7676",2,1953,3,611,5,NA
"7677",1,1937,3,NA,5,NA
"7678",2,1944,2,611,5,NA
"7679",1,1942,3,611,5,NA
"7680",2,1945,3,611,5,NA
"7681",1,1945,5,611,5,NA
"7682",2,1944,3,NA,5,NA
"7683",2,1935,2,NA,5,NA
"7684",1,1956,3,611,5,NA
"7685",2,1960,3,941,5,190
"7686",1,1951,4,611,5,NA
"7687",1,1940,3,611,5,NA
"7688",2,1941,3,611,5,NA
"7689",2,1939,3,611,5,NA
"7690",2,1942,3,999,5,29
"7691",1,1969,6,312,2,900
"7692",2,1974,6,NA,2,NA
"7693",2,2000,7,NA,2,NA
"7694",2,2002,5,NA,2,NA
"7695",1,1972,7,236,7,927
"7696",2,1971,6,NA,7,NA
"7697",2,1998,7,NA,7,NA
"7698",2,2000,7,NA,7,NA
"7699",1,2005,4,NA,7,NA
"7700",1,1972,7,235,5,950
"7701",2,1974,7,NA,5,NA
"7702",2,2000,6,NA,5,NA
"7703",2,2003,5,NA,5,NA
"7704",1,2012,3,NA,5,NA
"7705",1,1972,8,235,2,1010
"7706",2,1972,8,254,2,305
"7707",1,2001,5,NA,2,NA
"7708",2,2005,4,NA,2,NA
"7709",1,1971,7,232,2,775
"7710",2,1973,5,999,2,38
"7711",2,2002,7,NA,2,NA
"7712",2,1967,5,611,5,NA
"7713",2,1994,6,245,5,173
"7714",1,1996,5,799,5,366
"7715",2,1991,6,NA,5,NA
"7716",1,1989,6,312,5,329
"7717",2,2016,1,NA,5,NA
"7718",2,2020,1,NA,5,NA
"7719",1,1939,3,NA,5,NA
"7720",2,1948,2,NA,5,NA
"7721",1,1968,5,781,5,NA
"7722",2,1971,5,421,5,60
"7723",1,2007,4,NA,5,NA
"7724",1,1947,2,611,5,NA
"7725",2,1954,2,611,5,NA
"7726",1,1980,7,952,5,NA
"7727",1,1982,5,743,5,359
"7728",2,1983,5,NA,5,NA
"7729",2,2013,3,NA,5,NA
"7730",1,2015,1,NA,5,NA
"7731",1,1946,5,611,5,NA
"7732",2,1951,4,NA,5,NA
"7733",1,1935,5,611,5,NA
"7734",1,1968,5,991,6,186
"7735",2,1975,5,NA,6,NA
"7736",2,1934,2,NA,6,NA
"7737",1,1945,3,NA,5,NA
"7738",2,1952,3,NA,5,NA
"7739",1,1968,6,510,5,300
"7740",2,1971,5,422,5,NA
"7741",1,1994,7,510,5,266
"7742",1,1970,5,873,2,NA
"7743",2,1977,5,NA,2,NA
"7744",1,2005,4,NA,2,NA
"7745",2,2008,3,NA,2,NA
"7746",2,2015,1,NA,2,NA
"7747",1,1956,5,611,5,NA
"7748",2,1957,4,611,5,NA
"7749",1,1984,6,611,5,NA
"7750",2,1987,6,246,1,113
"7751",1,1958,4,873,5,NA
"7752",2,1965,5,951,5,80
"7753",1,1998,6,NA,5,NA
"7754",1,1959,4,NA,5,NA
"7755",2,1940,3,941,5,27
"7756",1,1936,3,NA,5,NA
"7757",1,1971,5,873,5,200
"7758",2,1936,3,NA,5,NA
"7759",1,1925,2,NA,5,NA
"7760",2,1958,5,611,5,NA
"7761",1,1944,7,NA,7,NA
"7762",2,1949,5,NA,7,NA
"7763",1,1967,7,320,7,542
"7764",2,1970,7,253,7,212
"7765",2,2003,5,NA,7,NA
"7766",2,2004,5,NA,7,NA
"7767",1,1964,7,312,7,1275
"7768",2,1968,5,952,7,NA
"7769",1,1993,7,NA,7,NA
"7770",1,1995,7,999,7,184
"7771",2,1950,4,NA,7,NA
"7772",2,1975,7,NA,7,NA
"7773",2,1997,5,NA,7,NA
"7774",2,1935,3,NA,7,NA
"7775",2,1941,4,941,7,27
"7776",1,1970,5,521,7,364
"7777",2,1974,7,254,7,100
"7778",2,1998,7,NA,7,NA
"7779",2,1999,7,NA,7,NA
"7780",1,2005,4,NA,7,NA
"7781",2,1960,8,133,7,467
"7782",1,1945,3,873,7,NA
"7783",2,1952,5,611,7,NA
"7784",2,1977,7,313,7,200
"7785",1,1976,9,311,7,473
"7786",2,2010,3,NA,7,NA
"7787",1,2011,3,NA,7,NA
"7788",1,1950,7,NA,7,NA
"7789",2,1953,5,NA,7,NA
"7790",1,1966,7,730,7,NA
"7791",2,1967,5,314,7,108
"7792",2,1998,7,NA,7,NA
"7793",1,1961,7,320,7,725
"7794",2,1965,5,NA,7,NA
"7795",2,1989,7,311,7,255
"7796",2,1993,7,411,7,129
"7797",2,1946,7,NA,7,NA
"7798",2,1944,3,NA,7,NA
"7799",1,1963,7,873,7,210
"7800",2,1963,7,131,7,359
"7801",1,1995,8,NA,7,NA
"7802",2,1993,7,253,5,237
"7803",1,1963,7,510,7,334
"7804",2,1968,5,246,7,253
"7805",1,1994,7,NA,7,NA
"7806",1,1974,7,151,5,917
"7807",2,1977,7,259,5,NA
"7808",1,2001,7,NA,5,NA
"7809",2,2004,5,NA,5,NA
"7810",1,1941,3,999,7,27
"7811",2,1943,2,999,7,27
"7812",1,1978,7,823,7,NA
"7813",2,1978,6,312,7,100
"7814",2,2010,3,NA,7,NA
"7815",2,2013,3,NA,7,NA
"7816",2,1968,5,613,7,NA
"7817",1,1997,7,NA,7,NA
"7818",2,1939,3,613,7,NA
"7819",2,1993,7,NA,1,NA
"7820",2,1974,5,399,7,283
"7821",1,1994,7,311,7,292
"7822",2,1997,6,521,7,250
"7823",1,1968,5,611,7,NA
"7824",1,2001,6,NA,7,NA
"7825",2,1942,2,952,7,59
"7826",1,1976,6,NA,7,NA
"7827",1,1970,5,312,7,475
"7828",2,1974,6,NA,7,NA
"7829",2,2002,5,NA,7,NA
"7830",1,2004,5,NA,7,NA
"7831",1,2009,3,NA,7,NA
"7832",2,1948,2,991,7,NA
"7833",2,1958,5,941,7,210
"7834",1,1967,7,312,7,1125
"7835",2,1970,7,311,7,508
"7836",2,1997,7,NA,7,NA
"7837",1,2000,7,NA,7,NA
"7838",1,2002,5,NA,7,NA
"7839",1,1951,4,NA,7,NA
"7840",2,1942,3,NA,7,NA
"7841",2,1947,3,NA,7,NA
"7842",2,1937,2,NA,7,NA
"7843",1,1942,4,NA,7,NA
"7844",2,1950,3,NA,7,NA
"7845",2,1937,3,NA,7,NA
"7846",1,1961,4,NA,6,NA
"7847",1,1968,7,873,7,NA
"7848",2,1972,6,442,7,208
"7849",1,1995,7,NA,7,NA
"7850",2,1998,7,NA,7,NA
"7851",2,2001,7,NA,7,NA
"7852",2,1932,3,NA,7,NA
"7853",2,1986,5,NA,7,NA
"7854",1,1972,5,873,7,NA
"7855",2,1982,5,246,7,223
"7856",2,2006,4,NA,7,NA
"7857",1,2008,3,NA,7,NA
"7858",1,1958,4,841,7,NA
"7859",2,1956,4,NA,7,NA
"7860",1,1988,7,841,7,NA
"7861",1,1979,7,761,2,438
"7862",2,1981,6,253,2,230
"7863",1,2009,3,NA,2,NA
"7864",1,2012,3,NA,2,NA
"7865",2,1931,3,NA,7,NA
"7866",2,1958,3,953,7,NA
"7867",1,1960,5,873,7,138
"7868",2,1964,5,941,7,NA
"7869",2,1994,5,999,7,186
"7870",1,1976,7,285,5,293
"7871",2,1978,7,285,5,216
"7872",2,1959,4,NA,5,NA
"7873",1,2009,3,NA,5,NA
"7874",1,2013,3,NA,5,NA
"7875",1,1972,5,783,7,NA
"7876",2,1992,5,NA,7,NA
"7877",1,1995,6,922,7,313
"7878",1,2020,1,NA,7,NA
"7879",2,1942,2,NA,7,NA
"7880",2,1953,5,NA,4,NA
"7881",1,1969,5,761,7,NA
"7882",2,1979,5,399,7,195
"7883",2,2006,4,NA,7,NA
"7884",2,2008,3,NA,7,NA
"7885",1,1951,5,NA,7,NA
"7886",2,1951,2,NA,1,NA
"7887",2,1945,3,NA,7,NA
"7888",2,1935,2,NA,7,NA
"7889",1,1932,3,NA,7,NA
"7890",2,1941,3,NA,7,NA
"7891",2,1943,3,NA,7,NA
"7892",1,1968,5,999,7,193
"7893",2,1969,5,442,7,172
"7894",2,2012,3,NA,7,NA
"7895",1,1967,5,NA,7,NA
"7896",1,1945,8,NA,7,NA
"7897",2,1945,5,NA,7,NA
"7898",1,1949,3,NA,7,NA
"7899",2,1951,3,NA,7,NA
"7900",2,1987,5,NA,7,NA
"7901",2,1941,3,941,7,27
"7902",1,1995,7,NA,7,NA
"7903",2,1997,7,NA,7,NA
"7904",1,2003,5,NA,7,NA
"7905",1,1965,5,312,7,468
"7906",2,1972,5,930,7,302
"7907",2,1943,2,941,7,27
"7908",1,1940,5,242,7,NA
"7909",2,1940,3,999,7,NA
"7910",2,2000,6,NA,7,NA
"7911",1,1970,5,875,7,343
"7912",2,1941,4,521,7,NA
"7913",1,1953,4,611,7,NA
"7914",2,1958,4,248,7,NA
"7915",1,1952,3,823,7,NA
"7916",2,1955,5,823,7,NA
"7917",1,1983,7,252,7,378
"7918",1,1984,7,272,1,796
"7919",2,1986,7,272,1,738
"7920",1,2014,1,NA,1,NA
"7921",2,2016,1,NA,1,NA
"7922",1,1960,4,521,7,NA
"7923",2,1965,7,421,7,45
"7924",1,1991,7,NA,7,NA
"7925",2,1989,7,313,7,50
"7926",1,1986,6,149,7,369
"7927",1,2018,1,NA,7,NA
"7928",1,1955,4,521,7,NA
"7929",2,1964,4,521,7,NA
"7930",2,1985,6,399,2,312
"7931",1,1983,5,862,2,733
"7932",2,2011,3,NA,2,NA
"7933",2,2014,1,NA,2,NA
"7934",1,1957,5,873,7,NA
"7935",2,1960,4,441,7,NA
"7936",1,1936,3,NA,7,NA
"7937",2,1940,3,NA,7,NA
"7938",1,1931,3,NA,7,NA
"7939",2,1936,3,NA,7,NA
"7940",2,1941,5,NA,7,NA
"7941",1,1959,5,823,7,NA
"7942",1,1987,7,761,7,NA
"7943",1,1988,5,510,7,200
"7944",2,1982,7,952,7,231
"7945",1,2006,4,NA,7,NA
"7946",1,1985,7,521,1,NA
"7947",2,1978,5,521,1,NA
"7948",1,1946,4,611,7,NA
"7949",2,1954,4,611,7,NA
"7950",2,1947,2,NA,7,NA
"7951",1,1955,7,NA,7,NA
"7952",2,1959,5,442,7,NA
"7953",2,1985,5,930,7,186
"7954",2,1982,6,243,7,364
"7955",1,1983,6,753,7,460
"7956",1,2011,3,NA,7,NA
"7957",2,2013,3,NA,7,NA
"7958",2,1954,5,941,7,158
"7959",1,1951,5,NA,7,NA
"7960",1,1970,8,248,7,NA
"7961",2,1970,6,253,7,364
"7962",1,2001,7,NA,7,NA
"7963",2,2002,5,314,7,NA
"7964",2,1997,7,243,7,345
"7965",2,1962,5,429,7,NA
"7966",1,1973,6,412,7,261
"7967",2,1973,6,246,7,336
"7968",2,2000,7,NA,7,NA
"7969",2,2002,5,NA,7,NA
"7970",2,1937,3,NA,7,NA
"7971",1,1944,5,NA,7,NA
"7972",2,1948,3,521,7,NA
"7973",1,1939,2,611,7,NA
"7974",2,1944,3,611,7,NA
"7975",1,1976,5,841,7,350
"7976",2,1990,4,NA,7,NA
"7977",2,2013,3,NA,7,NA
